,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,PS,T2MDEW
2015-01-01,23.38322993506493,27.29,20.77,90.08,17.47,2.75,3.2126,96.02,21.37
2015-01-02,23.261482806637808,27.27,19.89,87.01,4.66,1.48,4.3248,96.05,20.89
2015-01-03,24.118926190476195,27.77,21.23,87.71,4.84,1.52,4.2432,96.03,21.83
2015-01-04,23.665340930735933,27.15,20.71,88.07,2.41,1.88,5.4787,95.94,21.57
2015-01-05,23.76834126984126,28.24,19.86,89.4,6.37,3.03,4.3872,95.87,21.79
2015-01-06,24.225558888888898,28.26,20.85,86.93,0.21,2.64,7.5636,95.99,21.76
2015-01-07,23.557756706349213,27.72,20.64,86.13,1.0,3.84,6.5414,96.23,20.93
2015-01-08,23.623065714285723,27.87,20.47,85.89,1.27,2.93,7.2127,96.27,20.96
2015-01-09,23.120676067821076,28.01,19.22,85.46,0.86,1.94,7.6622,96.28,20.84
2015-01-10,23.09621823260073,26.97,20.24,85.11,1.5,2.95,6.996,96.31,20.28
2015-01-11,22.69300396825396,26.18,19.8,83.55,0.95,3.07,7.2523,96.16,19.54
2015-01-12,24.451233755133757,29.08,20.81,89.22,12.14,3.3,4.6241,95.96,22.38
2015-01-13,25.215813373015873,28.97,22.22,89.11,2.25,2.74,5.573,95.84,22.96
2015-01-14,25.430030373376635,29.46,22.53,87.29,2.51,3.46,7.0346,95.83,22.95
2015-01-15,24.667093956043956,28.54,21.56,86.24,0.67,3.18,6.7457,95.88,22.0
2015-01-16,24.847855238095224,29.59,21.06,82.31,0.61,2.11,7.8319,95.63,21.26
2015-01-17,24.89316142857144,30.26,19.29,79.61,3.53,2.51,7.2898,95.74,21.01
2015-01-18,22.854567539682545,26.72,19.46,87.95,5.03,3.9,5.4413,96.17,20.45
2015-01-19,21.973242777777777,25.65,19.03,86.52,1.3,2.03,5.2644,96.24,19.61
2015-01-20,21.710828134920636,25.81,18.28,82.65,0.77,2.62,7.2994,96.41,18.36
2015-01-21,21.65828433982683,26.24,17.66,85.12,0.77,2.41,6.103,96.65,19.06
2015-01-22,22.289088253968256,27.07,18.01,83.61,0.19,2.07,7.5427,96.71,19.17
2015-01-23,21.70639825396826,25.75,18.05,83.07,0.27,2.62,7.8132,96.47,18.66
2015-01-24,22.462892849927858,26.88,18.34,83.21,1.14,1.96,7.026,96.22,19.12
2015-01-25,23.551486349206343,28.67,18.32,77.43,0.09,0.93,7.601,96.14,19.16
2015-01-26,24.95620214285715,30.43,19.63,79.4,3.44,1.3,7.4311,96.22,20.88
2015-01-27,24.903750515873018,28.67,22.21,84.63,8.4,0.85,6.9509,96.15,22.06
2015-01-28,24.326398928571415,27.59,21.62,89.41,23.36,1.27,5.1593,96.03,22.37
2015-01-29,23.614124787157287,27.0,20.95,90.78,13.15,1.98,4.4292,96.15,22.09
2015-01-30,24.090874249639256,27.97,21.02,89.58,9.4,1.95,5.0825,96.14,22.06
2015-01-31,24.45866003968253,28.56,21.08,86.31,3.96,1.22,6.7284,96.0,21.91
2015-02-01,25.29475604978355,30.42,20.5,83.85,0.88,1.31,7.1906,95.74,22.25
2015-02-02,25.05809887445886,29.78,21.01,85.04,18.63,1.03,6.5621,95.67,22.69
2015-02-03,25.956075833333333,30.3,22.22,84.02,8.47,1.43,5.3933,95.62,22.86
2015-02-04,25.131785,28.46,22.84,91.1,16.58,1.5,5.3158,95.59,23.53
2015-02-05,26.209676785714283,30.42,22.78,85.29,0.42,1.66,6.9986,95.56,23.32
2015-02-06,26.42317182539684,30.89,22.18,81.46,0.18,1.36,4.7875,95.73,22.98
2015-02-07,26.044848152958156,30.03,22.12,81.22,0.04,1.09,7.525,96.04,22.64
2015-02-08,25.310116547619042,29.0,21.93,81.36,0.04,1.54,7.1426,96.17,21.86
2015-02-09,24.208500357142874,28.59,20.7,81.13,0.04,1.12,6.3338,96.28,20.75
